Age,Gender,Marital Status,Income,home_ownership,length_of_employment,purpose_of_loan,loan_grade,loan_amount,interest_rate,loan_status,loan_percent_income,History_of_Default,Length_of_Default_History,Debt-to-Income Ratio,Length_of_employment in years
26,0,2,232500,MORTGAGE,0,MEDICAL PURPOSES,C,25000,14,0,0.11,Y,2,0.107526882,0
25,1,2,230000,MORTGAGE,5,MEDICAL PURPOSES,C,35000,14,0,0.15,N,4,0.152173913,0.416666667
23,1,0,83000,RENT,7,EDUCATION,B,25300,11,1,0.3,N,3,0.304819277,0.583333333
22,1,1,12600,MORTGAGE,4.778936496,PERSONAL USE,A,2000,5,1,0.16,N,4,0.158730159,0.398244708
25,1,1,12600,OWN,3,PERSONAL USE,C,1750,14,0,0.14,N,3,0.138888889,0.25
21,1,3,42500,RENT,3,EDUCATION,C,25000,13,1,0.59,Y,3,0.588235294,0.25
24,0,1,41000,RENT,2,HOME RENOVATIONS,D,25000,11.04695559,1,0.61,N,3,0.609756098,0.166666667
25,0,3,12816,OWN,0,DEBT CONSOLIDATION,C,3000,13,1,0.23,Y,4,0.234082397,0
24,1,2,12960,MORTGAGE,1,HOME RENOVATIONS,B,3650,10,1,0.28,N,3,0.281635802,0.083333333
26,1,2,226000,MORTGAGE,4,HOME RENOVATIONS,B,20000,11,0,0.09,N,4,0.088495575,0.333333333
25,0,3,225000,MORTGAGE,0,HOME RENOVATIONS,E,30000,20,0,0.13,Y,2,0.133333333,0
26,0,3,213000,MORTGAGE,6,EDUCATION,B,35000,11,1,0.16,N,2,0.164319249,0.5
24,1,0,225000,RENT,0,MEDICAL PURPOSES,B,6000,11.04695559,0,0.03,N,4,0.026666667,0
24,0,2,12960,MORTGAGE,0,DEBT CONSOLIDATION,B,4500,12,1,0.35,N,4,0.347222222,0
23,1,3,12996,OWN,0,DEBT CONSOLIDATION,C,2400,13,1,0.18,Y,2,0.184672207,0
22,0,1,42000,RENT,6,MEDICAL PURPOSES,D,25000,15,1,0.6,Y,2,0.595238095,0.5
26,0,1,48000,RENT,2,EDUCATION,B,25000,10,1,0.52,N,4,0.520833333,0.166666667
25,1,2,12996,OWN,1,MEDICAL PURPOSES,D,3600,15,1,0.28,N,3,0.27700831,0.083333333
22,0,1,12996,OWN,1,EDUCATION,B,4750,11.04695559,1,0.37,N,3,0.365497076,0.083333333
25,1,3,42360,RENT,1,EDUCATION,E,25000,16,1,0.59,Y,3,0.590179415,0.083333333
21,1,1,49000,RENT,4,EDUCATION,B,25000,11,1,0.51,N,2,0.510204082,0.333333333
25,0,1,225000,MORTGAGE,0,BUSINESS USE,F,25000,19,0,0.11,N,2,0.111111111,0
26,0,2,225000,RENT,1,EDUCATION,A,3000,9,0,0.01,N,4,0.013333333,0.083333333
23,1,1,225000,RENT,8,DEBT CONSOLIDATION,A,7500,9,0,0.03,N,2,0.033333333,0.666666667
26,1,4,225000,MORTGAGE,2,BUSINESS USE,B,25000,10,0,0.11,N,2,0.111111111,0.166666667
22,0,0,49464,RENT,5,PERSONAL USE,B,25000,12,1,0.51,N,3,0.505418082,0.416666667
23,1,2,50000,RENT,1,DEBT CONSOLIDATION,A,25000,8,1,0.5,N,3,0.5,0.083333333
25,1,0,50000,RENT,4,HOME RENOVATIONS,A,25000,6,1,0.5,N,2,0.5,0.333333333
24,0,2,44000,RENT,2,DEBT CONSOLIDATION,D,25000,15,1,0.57,N,2,0.568181818,0.166666667
23,1,1,50000,RENT,1,BUSINESS USE,B,25000,12,1,0.5,N,4,0.5,0.083333333
22,1,3,50004,RENT,0,BUSINESS USE,B,25000,10,1,0.5,N,2,0.499960003,0
22,0,2,50004,RENT,3,BUSINESS USE,C,25000,12,1,0.5,N,3,0.499960003,0.25
22,0,1,52000,RENT,2,EDUCATION,B,25000,11,1,0.48,N,4,0.480769231,0.166666667
23,1,3,13200,OWN,3,DEBT CONSOLIDATION,A,4950,8,1,0.38,N,4,0.375,0.25
24,1,4,220000,MORTGAGE,1,EDUCATION,B,25000,12,0,0.11,N,2,0.113636364,0.083333333
23,0,1,216000,MORTGAGE,5,DEBT CONSOLIDATION,A,21000,9,0,0.1,N,3,0.097222222,0.416666667
25,1,1,216000,MORTGAGE,2,EDUCATION,D,25000,16,0,0.12,N,3,0.115740741,0.166666667
26,0,3,216000,MORTGAGE,10,EDUCATION,C,20000,14,0,0.09,Y,2,0.092592593,0.833333333
23,0,1,215000,MORTGAGE,7,MEDICAL PURPOSES,C,35000,15,0,0.16,Y,3,0.162790698,0.583333333
26,1,3,215000,MORTGAGE,11,EDUCATION,A,12000,8,0,0.06,N,2,0.055813953,0.916666667
23,1,2,52000,RENT,1,PERSONAL USE,C,25000,13,1,0.48,N,2,0.480769231,0.083333333
26,1,3,46000,RENT,2,DEBT CONSOLIDATION,D,25000,12,1,0.54,N,4,0.543478261,0.166666667
22,1,2,53000,RENT,5,EDUCATION,C,25000,13,1,0.47,Y,4,0.471698113,0.416666667
26,0,1,47000,RENT,0,HOME RENOVATIONS,D,25000,15,1,0.53,Y,2,0.531914894,0
23,1,0,47000,RENT,1,BUSINESS USE,E,25000,18,1,0.53,N,2,0.531914894,0.083333333
23,1,2,13200,MORTGAGE,2,EDUCATION,B,1400,9,0,0.11,N,4,0.106060606,0.166666667
21,1,1,13200,OWN,0,BUSINESS USE,C,4500,13,1,0.34,N,4,0.340909091,0
22,0,1,210000,MORTGAGE,6,BUSINESS USE,B,16000,11,0,0.08,N,4,0.076190476,0.5
26,0,3,210000,OWN,10,PERSONAL USE,B,22000,12,0,0.1,N,4,0.104761905,0.833333333
26,1,1,48000,RENT,5,BUSINESS USE,F,25000,18,1,0.52,N,2,0.520833333,0.416666667
22,1,1,54996,RENT,6,EDUCATION,B,25000,11.04695559,1,0.45,N,4,0.454578515,0.5
24,0,4,55000,RENT,4,HOME RENOVATIONS,D,25000,11.04695559,1,0.45,Y,4,0.454545455,0.333333333
23,0,2,55000,RENT,4,EDUCATION,B,25000,11,1,0.45,N,3,0.454545455,0.333333333
23,1,1,55000,RENT,4,EDUCATION,D,25000,16,1,0.45,Y,3,0.454545455,0.333333333
24,0,1,55164,RENT,8,PERSONAL USE,C,25000,13,1,0.45,Y,4,0.453194112,0.666666667
26,1,4,56000,RENT,4,DEBT CONSOLIDATION,C,25000,13,1,0.45,N,2,0.446428571,0.333333333
24,1,3,203500,OWN,8,MEDICAL PURPOSES,C,20000,13,0,0.1,N,3,0.098280098,0.666666667
23,0,0,190000,MORTGAGE,5,EDUCATION,F,22000,18,1,0.12,Y,3,0.115789474,0.416666667
23,0,2,13920,OWN,2,PERSONAL USE,E,7750,17,1,0.56,N,4,0.556752874,0.166666667
24,1,3,60000,RENT,0,PERSONAL USE,B,25000,11,1,0.42,N,3,0.416666667,0
24,0,4,60000,RENT,2,PERSONAL USE,B,25000,11,1,0.42,N,3,0.416666667,0.166666667
26,1,0,54000,RENT,7,DEBT CONSOLIDATION,D,25000,15,1,0.46,Y,2,0.462962963,0.583333333
23,1,1,14000,OWN,2,DEBT CONSOLIDATION,D,4000,11.04695559,1,0.29,N,3,0.285714286,0.166666667
24,0,2,200000,RENT,8,MEDICAL PURPOSES,B,12000,13,0,0.06,N,2,0.06,0.666666667
24,1,0,200000,MORTGAGE,8,HOME RENOVATIONS,C,12000,13,0,0.06,N,2,0.06,0.666666667
21,1,1,200000,MORTGAGE,5,EDUCATION,C,16000,15,0,0.08,N,4,0.08,0.416666667
25,0,2,54000,RENT,3,HOME RENOVATIONS,E,25000,17,1,0.46,N,4,0.462962963,0.25
23,1,0,60000,RENT,3,PERSONAL USE,C,25000,13,1,0.42,N,3,0.416666667,0.25
23,0,1,60000,RENT,7,PERSONAL USE,B,25000,10,1,0.42,N,4,0.416666667,0.583333333
21,0,4,60000,RENT,6,EDUCATION,B,25000,11,1,0.42,N,4,0.416666667,0.5
25,0,2,61959,RENT,9,MEDICAL PURPOSES,C,25000,13,1,0.4,N,2,0.403492632,0.75
22,1,2,56400,RENT,2,HOME RENOVATIONS,D,25000,15,1,0.44,Y,3,0.443262411,0.166666667
23,0,0,200000,MORTGAGE,7,EDUCATION,A,28000,11.04695559,0,0.14,N,2,0.14,0.583333333
21,1,4,200000,MORTGAGE,2,DEBT CONSOLIDATION,C,25000,14,0,0.13,N,2,0.125,0.166666667
24,0,3,200000,MORTGAGE,3,BUSINESS USE,A,24000,7,0,0.12,N,4,0.12,0.25
26,0,4,200000,MORTGAGE,4,EDUCATION,C,15000,15,0,0.07,N,3,0.075,0.333333333
25,1,1,200000,MORTGAGE,12,DEBT CONSOLIDATION,B,15500,12,0,0.08,N,2,0.0775,1
24,1,2,200000,RENT,8,EDUCATION,A,10000,8,0,0.05,N,4,0.05,0.666666667
24,1,3,66000,RENT,3,EDUCATION,B,25000,10,1,0.38,N,2,0.378787879,0.25
22,0,3,66000,RENT,6,EDUCATION,C,25000,13,1,0.38,Y,3,0.378787879,0.5
22,1,1,200000,MORTGAGE,6,DEBT CONSOLIDATION,A,9000,6,0,0.04,N,4,0.045,0.5
144,1,3,200000,MORTGAGE,4,EDUCATION,B,6000,12,0,0.03,N,2,0.03,0.333333333
25,1,1,200000,RENT,5,EDUCATION,D,18000,16,0,0.09,N,3,0.09,0.416666667
25,1,3,200000,MORTGAGE,2,BUSINESS USE,B,12000,10,0,0.06,N,2,0.06,0.166666667
25,0,1,200000,MORTGAGE,9,PERSONAL USE,C,23050,14,0,0.12,N,3,0.11525,0.75
24,0,2,200000,MORTGAGE,8,DEBT CONSOLIDATION,B,20000,11.04695559,0,0.1,N,3,0.1,0.666666667
24,0,3,60000,RENT,2,DEBT CONSOLIDATION,E,25000,11.04695559,1,0.42,Y,2,0.416666667,0.166666667
21,1,3,14400,OWN,0,HOME RENOVATIONS,B,3000,11.04695559,1,0.21,N,4,0.208333333,0
26,1,2,66996,RENT,10,PERSONAL USE,D,25000,15,1,0.37,Y,2,0.373156606,0.833333333
23,1,0,67000,RENT,3,EDUCATION,A,25000,8,1,0.37,N,4,0.373134328,0.25
24,1,0,67000,RENT,2,BUSINESS USE,B,25000,11,1,0.37,N,3,0.373134328,0.166666667
24,0,1,68000,RENT,5,PERSONAL USE,D,25000,14,1,0.37,Y,3,0.367647059,0.416666667
25,0,2,69000,RENT,9,PERSONAL USE,D,25000,17,1,0.36,N,2,0.362318841,0.75
25,1,3,200000,MORTGAGE,0,EDUCATION,B,12000,11,0,0.06,N,3,0.06,0
26,0,2,188000,MORTGAGE,10,BUSINESS USE,E,20000,18,1,0.11,N,2,0.106382979,0.833333333
26,0,3,200000,MORTGAGE,4,PERSONAL USE,C,3000,14,0,0.01,N,3,0.015,0.333333333
25,1,3,69996,RENT,9,EDUCATION,D,25000,15,1,0.36,N,3,0.357163266,0.75
22,1,1,14400,OWN,2,MEDICAL PURPOSES,B,4000,11,1,0.28,N,3,0.277777778,0.166666667
24,0,0,70000,RENT,3,EDUCATION,B,25000,12,1,0.36,N,4,0.357142857,0.25
24,1,3,14400,OWN,5,PERSONAL USE,A,6000,7,1,0.42,N,3,0.416666667,0.416666667
24,1,4,56100,RENT,7,MEDICAL PURPOSES,D,25000,16,1,0.38,N,4,0.445632799,0.583333333
25,0,2,66000,RENT,6,BUSINESS USE,D,25000,15,1,0.38,Y,2,0.378787879,0.5
26,1,1,66000,RENT,3,HOME RENOVATIONS,B,25000,12,1,0.38,N,4,0.378787879,0.25
25,0,1,14400,OWN,7,EDUCATION,A,5375,6,1,0.37,N,2,0.373263889,0.583333333
25,1,4,72612,RENT,9,MEDICAL PURPOSES,C,25000,13,1,0.34,N,2,0.344295709,0.75
23,0,2,74000,RENT,3,MEDICAL PURPOSES,B,25000,10,1,0.34,N,3,0.337837838,0.25
25,1,3,75000,RENT,9,DEBT CONSOLIDATION,B,25000,10,1,0.33,N,2,0.333333333,0.75
24,1,0,192000,RENT,0,MEDICAL PURPOSES,C,22000,11.04695559,0,0.11,Y,2,0.114583333,0
21,0,1,192000,MORTGAGE,123,BUSINESS USE,A,20000,7,0,0.1,N,4,0.104166667,10.25
25,1,1,191000,MORTGAGE,1,MEDICAL PURPOSES,B,10000,13,0,0.05,N,4,0.052356021,0.083333333
26,0,2,190300,MORTGAGE,5,PERSONAL USE,A,15000,11.04695559,0,0.08,N,3,0.078822911,0.416666667
22,0,4,190000,MORTGAGE,3,BUSINESS USE,C,10000,11.04695559,0,0.05,N,3,0.052631579,0.25
24,0,4,75000,RENT,4,EDUCATION,B,25000,10,1,0.33,N,4,0.333333333,0.333333333
22,0,1,71000,RENT,1,EDUCATION,D,25000,16,1,0.35,Y,4,0.352112676,0.083333333
26,0,2,190000,MORTGAGE,3,BUSINESS USE,B,20000,12,0,0.11,N,4,0.105263158,0.25
23,1,1,189996,OWN,0,PERSONAL USE,B,24000,12,0,0.13,N,3,0.126318449,0
23,0,2,78000,RENT,7,DEBT CONSOLIDATION,C,25000,11.04695559,1,0.32,Y,2,0.320512821,0.583333333
23,0,1,78000,RENT,1,BUSINESS USE,B,25000,11,1,0.32,N,3,0.320512821,0.083333333
23,1,0,78504,RENT,7,BUSINESS USE,B,25000,11,1,0.32,N,3,0.318455111,0.583333333
25,1,3,186000,OWN,9,BUSINESS USE,B,10000,10,0,0.05,N,4,0.053763441,0.75
24,1,0,185000,MORTGAGE,4.778936496,EDUCATION,B,35000,12,0,0.19,N,2,0.189189189,0.398244708
25,0,3,185000,RENT,6,BUSINESS USE,C,15000,15,0,0.08,N,2,0.081081081,0.5
24,1,3,62050,RENT,8,MEDICAL PURPOSES,D,25000,15,1,0.34,Y,2,0.402900886,0.666666667
23,1,4,79416,RENT,7,BUSINESS USE,D,25000,15,1,0.31,Y,2,0.314798026,0.583333333
21,1,1,14400,OWN,4,BUSINESS USE,C,6250,15,1,0.43,N,2,0.434027778,0.333333333
24,1,1,79631,RENT,8,PERSONAL USE,D,25000,16,1,0.31,Y,2,0.313948086,0.666666667
24,0,1,79632,RENT,0,EDUCATION,C,25000,13,1,0.31,N,4,0.313944143,0
21,0,0,14400,MORTGAGE,0,MEDICAL PURPOSES,C,1500,11.04695559,0,0.1,N,4,0.104166667,0
24,1,2,80000,RENT,6,EDUCATION,A,25000,7,1,0.31,N,2,0.3125,0.5
26,1,3,80000,RENT,5,DEBT CONSOLIDATION,C,25000,14,1,0.31,N,4,0.3125,0.416666667
22,0,1,185000,RENT,4,MEDICAL PURPOSES,B,25000,11,0,0.14,N,2,0.135135135,0.333333333
26,0,1,185000,OWN,10,PERSONAL USE,A,5000,8,0,0.03,N,2,0.027027027,0.833333333
24,1,2,184992,RENT,7,HOME RENOVATIONS,D,22000,14,0,0.12,Y,4,0.118924062,0.583333333
23,0,2,184000,OWN,5,EDUCATION,B,2500,12,0,0.01,N,2,0.013586957,0.416666667
24,0,2,172000,MORTGAGE,6,DEBT CONSOLIDATION,C,20000,13,1,0.12,Y,4,0.11627907,0.5
24,0,2,183000,MORTGAGE,2,MEDICAL PURPOSES,B,20000,11,0,0.11,N,3,0.109289617,0.166666667
22,1,1,183000,MORTGAGE,3,EDUCATION,A,1000,11.04695559,0,0.01,N,2,0.005464481,0.25
25,0,1,182952,MORTGAGE,9,PERSONAL USE,A,15000,6,0,0.08,N,3,0.081988718,0.75
23,0,4,74004,RENT,7,DEBT CONSOLIDATION,E,25000,16,1,0.34,N,4,0.337819577,0.583333333
26,0,3,74004,RENT,10,DEBT CONSOLIDATION,D,25000,11.04695559,1,0.34,Y,4,0.337819577,0.833333333
25,1,1,81000,RENT,5,DEBT CONSOLIDATION,A,25000,7,1,0.31,N,3,0.308641975,0.416666667
23,0,2,81600,RENT,1,MEDICAL PURPOSES,B,25000,11,1,0.31,N,3,0.306372549,0.083333333
24,1,4,82000,RENT,8,BUSINESS USE,B,25000,10,0,0.3,N,2,0.304878049,0.666666667
24,0,2,83000,RENT,5,EDUCATION,B,25000,11,0,0.3,N,3,0.301204819,0.416666667
24,1,2,83000,RENT,5,PERSONAL USE,D,25000,13,0,0.3,Y,3,0.301204819,0.416666667
24,0,2,180000,RENT,8,EDUCATION,E,18000,19,0,0.1,Y,4,0.1,0.666666667
23,0,4,180000,MORTGAGE,8,PERSONAL USE,A,28000,8,0,0.16,N,3,0.155555556,0.666666667
23,0,0,14400,OWN,2,HOME RENOVATIONS,E,4000,17,1,0.28,N,2,0.277777778,0.166666667
22,1,3,14400,OWN,0,PERSONAL USE,B,2100,11,0,0.15,N,4,0.145833333,0
22,0,1,84500,RENT,6,PERSONAL USE,F,25000,18,0,0.3,N,4,0.295857988,0.5
24,0,3,85000,RENT,5,MEDICAL PURPOSES,B,25000,11,0,0.29,N,4,0.294117647,0.416666667
24,0,3,180000,MORTGAGE,7,BUSINESS USE,B,14000,12,0,0.08,N,2,0.077777778,0.583333333
26,1,4,180000,MORTGAGE,2,BUSINESS USE,B,12000,10,0,0.07,N,4,0.066666667,0.166666667
25,0,3,142800,MORTGAGE,9,MEDICAL PURPOSES,F,10000,18,1,0.06,N,4,0.070028011,0.75
23,0,0,14664,MORTGAGE,0,DEBT CONSOLIDATION,C,6000,11.04695559,1,0.41,N,4,0.409165303,0
24,0,3,87000,RENT,8,HOME RENOVATIONS,D,25000,15,0,0.29,N,3,0.287356322,0.666666667
24,0,2,75000,RENT,90,BUSINESS USE,E,25000,15,1,0.33,Y,3,0.333333333,7.5
23,0,1,76000,RENT,7,DEBT CONSOLIDATION,D,25000,16,1,0.33,N,4,0.328947368,0.583333333
23,0,1,66215,RENT,1,MEDICAL PURPOSES,D,25000,15,1,0.32,Y,2,0.377557955,0.083333333
25,1,3,90000,RENT,9,MEDICAL PURPOSES,B,25000,11,0,0.28,N,4,0.277777778,0.75
21,0,4,15000,OWN,0,HOME RENOVATIONS,A,6200,8,1,0.41,N,2,0.413333333,0
26,0,1,180000,OWN,2,PERSONAL USE,B,25000,11,0,0.14,N,4,0.138888889,0.166666667
24,1,1,180000,OWN,8,EDUCATION,B,21000,11,0,0.12,N,3,0.116666667,0.666666667
25,1,2,180000,OWN,9,MEDICAL PURPOSES,C,20000,14,0,0.11,Y,4,0.111111111,0.75
26,1,1,180000,OWN,0,HOME RENOVATIONS,A,10000,8,0,0.06,N,4,0.055555556,0
25,1,3,180000,MORTGAGE,3,BUSINESS USE,B,9950,11,0,0.06,N,2,0.055277778,0.25
23,0,3,15000,OWN,7,MEDICAL PURPOSES,B,4475,11.04695559,1,0.3,N,4,0.298333333,0.583333333
23,0,1,78000,RENT,2,BUSINESS USE,D,25000,16,1,0.32,Y,3,0.320512821,0.166666667
25,1,1,66300,RENT,3,MEDICAL PURPOSES,E,25000,18,1,0.32,Y,4,0.377073906,0.25
23,1,0,90000,RENT,0,DEBT CONSOLIDATION,B,25000,11,0,0.28,N,3,0.277777778,0
24,0,4,79000,RENT,9,DEBT CONSOLIDATION,D,25000,15,1,0.32,Y,4,0.316455696,0.75
24,0,3,91800,RENT,4,PERSONAL USE,C,25000,13,0,0.27,Y,3,0.272331155,0.333333333
25,0,2,92000,RENT,6,HOME RENOVATIONS,B,25000,13,0,0.27,N,3,0.27173913,0.5
24,0,4,92000,RENT,1,BUSINESS USE,C,25000,13,0,0.27,Y,4,0.27173913,0.083333333
23,0,3,93600,RENT,3,BUSINESS USE,D,25000,15,0,0.27,N,4,0.267094017,0.25
23,0,3,15000,MORTGAGE,1,MEDICAL PURPOSES,C,1750,13,0,0.12,Y,3,0.116666667,0.083333333
23,0,4,70550,RENT,3,MEDICAL PURPOSES,F,25000,19,1,0.3,Y,4,0.354358611,0.25
25,1,2,83800,RENT,2,DEBT CONSOLIDATION,D,25000,16,1,0.3,Y,3,0.298329356,0.166666667
26,1,1,175000,MORTGAGE,3,BUSINESS USE,A,2600,9,0,0.01,N,4,0.014857143,0.25
25,0,2,175000,MORTGAGE,10,HOME RENOVATIONS,A,8000,8,0,0.05,N,2,0.045714286,0.833333333
22,0,1,175000,MORTGAGE,6,EDUCATION,B,18000,11.04695559,0,0.1,N,2,0.102857143,0.5
23,1,3,175000,MORTGAGE,8,PERSONAL USE,B,21000,12,0,0.12,N,3,0.12,0.666666667
23,1,2,15000,OWN,4,DEBT CONSOLIDATION,C,4000,14,1,0.27,N,4,0.266666667,0.333333333
23,0,4,15000,OWN,4,BUSINESS USE,B,4600,11,1,0.31,N,2,0.306666667,0.333333333
22,0,3,88000,RENT,6,DEBT CONSOLIDATION,D,25000,16,1,0.28,Y,2,0.284090909,0.5
25,1,4,74800,RENT,2,MEDICAL PURPOSES,B,25000,11,1,0.28,N,2,0.334224599,0.166666667
